date,lesson,change_summary,files_affected,social_caption,hashtags
"2026-04-03","Lesson 7","Created Lesson 7 Git Basics codebase - all notes, exercises, examples, and assignment files","Lesson 7/README.md, Lesson 7/notes/tutor_notes.md, Lesson 7/notes/student_notes.md, Lesson 7/exercises/git_practice.md, Lesson 7/assignments/assignment_brief.md, Lesson 7/examples/git_workflow_demo/index.html, Lesson 7/examples/git_workflow_demo/style.css","Lesson 7 is live! 🚀 Today we dive into Git & GitHub — the backbone of every software project. Students go from zero to pushing their first real commit to the cloud. No more 'final_v2_ACTUALLY_FINAL.html'! 😅 Full tutor notes, student reference guide, step-by-step exercises and a hands-on demo project all ready to go.","#Git #GitHub #VersionControl #LearnToCode #SoftwareDevelopment #CodingForBeginners #WebDev #100DaysOfCode #TechEducation #Programming"
"2026-04-03","Lesson 7","Enhanced Lesson 7 with interactive Git visual reference, upgraded multi-file demo project, .gitignore template, and enriched exercises","Lesson 7/examples/git_visual_reference.html, Lesson 7/examples/gitignore_template.txt, Lesson 7/examples/git_workflow_demo/index.html, Lesson 7/examples/git_workflow_demo/projects.html, Lesson 7/examples/git_workflow_demo/about.html, Lesson 7/examples/git_workflow_demo/css/style.css, Lesson 7/examples/git_workflow_demo/README.md, Lesson 7/exercises/git_practice.md, Lesson 7/README.md","We levelled up Lesson 7! 🔥 Git is the #1 skill gap for junior devs — so we built a full interactive visual reference you open in the browser, a real multi-page demo project to practise staging on, a .gitignore deep-dive, and exercises that actually teach you WHY the staging area exists. This is the Git lesson we wish we'd had. 🧑‍💻","#Git #GitHub #VersionControl #LearnToCode #WebDevelopment #CodingBootcamp #SoftwareEngineering #GitTips #OpenSource #100DaysOfCode"
"2026-04-03","Lesson 8","Created Lesson 8 Branching & Pull Requests codebase - full interactive HTML guide, multi-file branch demo, step-by-step conflict exercises, notes, and PR assignment","Lesson 8/README.md, Lesson 8/notes/tutor_notes.md, Lesson 8/notes/student_notes.md, Lesson 8/examples/branching_visual_reference.html, Lesson 8/examples/branch_demo/index.html, Lesson 8/examples/branch_demo/about.html, Lesson 8/examples/branch_demo/contact.html, Lesson 8/examples/branch_demo/css/style.css, Lesson 8/examples/branch_demo/README.md, Lesson 8/exercises/branching_practice.md, Lesson 8/assignments/assignment_brief.md","Lesson 8 drops today, and it’s a big one! 🌳 Branching, Merging, and Pull Requests are the lifeblood of software teams. We built an interactive guide showing exactly how Git paths diverge and merge, a multi-file sandbox to safely break things, and a guided merge-conflict survival guide. The PR assignment locks in those professional collaboration habits! 🤝","#Git #GitHub #Branching #PullRequests #SoftwareEngineering #CodeReview #WebDev #CollaborativeCoding #TechSkills #LearnToCode"
"2026-04-03","Lesson 9","Created Lesson 9 Collaborative Landing Page codebase - interactive team workflow guide, project specs, starter template, Kanban/PR notes, and team setup exercises","Lesson 9/README.md, Lesson 9/notes/tutor_notes.md, Lesson 9/notes/student_notes.md, Lesson 9/examples/project_specifications.md, Lesson 9/examples/team_workflow_reference.html, Lesson 9/examples/landing_page_starter/index.html, Lesson 9/examples/landing_page_starter/css/style.css, Lesson 9/examples/landing_page_starter/README.md, Lesson 9/examples/landing_page_starter/.gitignore, Lesson 9/exercises/team_setup_practice.md, Lesson 9/assignments/assignment_brief.md","Going from solo coding to team dev is a massive mindset shift! 🧠 Lesson 9 bridges the gap with a full Collaborative Landing Page project. We've included project specs, a Kanban breakdown, a shared starter template with Tailwind, and an interactive GitHub Flow diagram mapping exactly how teams operate in the real world. Time to build together! 🏗️","#CollaborativeCoding #TechTeams #GitHubFlow #WebDevelopment #SoftwareEngineering #CodeReview #LearnToCode #Agile #Kanban #CodingJourney"
"2026-04-15","Lesson 10 created","Created Lesson 10 files covering JavaScript Fundamentals I including Tutor Notes, Student Notes, Assignments, and Examples.","Lesson 10/README.md, Lesson 10/notes/tutor_notes.md, Lesson 10/notes/student_notes.md, Lesson 10/assignments/assignment_brief.md, Lesson 10/examples/js-basics.html, Lesson 10/examples/script.js","🚀 Lesson 10 is here! We are officially diving into JavaScript! 💻 Web pages are about to get dynamic. We've laid the groundwork for variables, data types, and operators. The lesson includes a complete tutor guide, student notes, examples, and assignments to get everyone up to speed on JS fundamentals. Time to make things interactive! ⚡","#JavaScript #WebDev #LearnToCode #Programming #CodeNewbie #SoftwareEngineering #TechEducation #JSFundamentals #CodingBootcamp #100DaysOfCode"
"2026-04-15","Lesson 10 enhanced","Complete overhaul of Lesson 10 JavaScript Fundamentals I — rewrote tutor notes with timed session outline and troubleshooting, rewrote student notes with full teaching content and cheat sheets, created 64KB interactive HTML reference with live code playgrounds and 7-question quiz, created 12-exercise guided practice file, enhanced assignment brief with expected outputs and bonus challenges, enhanced script.js to 9 sections covering all topics","Lesson 10/README.md, Lesson 10/notes/tutor_notes.md, Lesson 10/notes/student_notes.md, Lesson 10/examples/js_interactive_reference.html, Lesson 10/examples/js-basics.html, Lesson 10/examples/script.js, Lesson 10/exercises/js_fundamentals_practice.md, Lesson 10/assignments/assignment_brief.md","🔥 Lesson 10 just got a MASSIVE upgrade! We completely overhauled our JavaScript intro with an interactive HTML playground where students can write and run JS code live in the browser, a 7-question quiz with instant feedback, 12 guided hands-on exercises, and deep-dive notes covering type coercion, strict equality, and every operator. This isn't a basic intro — it's the JS foundation we wish every bootcamp had. Variables, data types, operators — MASTERED. 🧠💻","#JavaScript #WebDev #CodingEducation #LearnToCode #Programming #JSFundamentals #InteractiveLearning #CodeNewbie #SoftwareEngineering #100DaysOfCode"
"2026-04-16","Lesson 11","Created Lesson 11 JavaScript Fundamentals I: Control Flow & Functions - full educational materials including tutor notes, student notes, interactive exercises, HTML examples, and assignment brief.","Lesson 11/README.md, Lesson 11/notes/tutor_notes.md, Lesson 11/notes/student_notes.md, Lesson 11/exercises/js_control_flow_practice.md, Lesson 11/assignments/assignment_brief.md, Lesson 11/examples/control-flow.html, Lesson 11/examples/script.js","Ready to write programs that think for themselves? 🤔 Lesson 11 is live! We're diving deep into JavaScript Control Flow and Functions. Say goodbye to top-to-bottom execution—today students learn conditionals, for loops, while loops, and how to build reusable chunks of logic. The FizzBuzz challenge awaits! 💪","#JavaScript #WebDev #LearnToCode #Programming #CodeNewbie #SoftwareEngineering #TechEducation #JSFundamentals #CodingBootcamp #100DaysOfCode"
"2026-04-16","Lesson 11 enhanced","Overhauled all Lesson 11 materials — rewrote tutor notes with full timed session script and 11-point troubleshooting guide, rewrote student notes with visual aids and comparison tables, rewrote script.js with 6 deeply annotated sections and live TASK prompts, rewrote exercises with expected outputs and three difficulty tiers, rewrote assignment brief with factorial trace table, reflection questions, and bonus challenges.","Lesson 11/notes/tutor_notes.md, Lesson 11/notes/student_notes.md, Lesson 11/examples/script.js, Lesson 11/exercises/js_control_flow_practice.md, Lesson 11/assignments/assignment_brief.md","Lesson 11 just got a serious upgrade! 🔥 Control Flow & Functions are the backbone of every real program — so we made sure the lesson is too. Full timed tutor script, 11 common mistake callouts, student notes with comparison tables, 11 graded exercises with expected outputs, and a FizzBuzz assignment with a factorial trace table. This is how you actually LEARN to code. 🧠💻","#JavaScript #LearnToCode #WebDev #JSFundamentals #CodingEducation #Functions #Loops #FizzBuzz #100DaysOfCode #TechEducation"
"2026-04-16","Lesson 11 interactive HTML","Built full interactive reference HTML for Lesson 11 — dark theme, 7 tabbed sections (Conditionals, For Loops, While Loops, Functions, Scope, Playground, Quiz), 8 live code playgrounds with run/reset buttons, if-else flow diagram, for-loop anatomy diagram, scope visualiser, return vs console.log side-by-side comparison, and a 7-question quiz with instant feedback and score summary.","Lesson 11/examples/control-flow.html","We don't just EXPLAIN Control Flow — we built an interactive playground for it. 🎮 Lesson 11's visual reference lets you run and edit live JavaScript in the browser, see if/else flow diagrams, loop anatomy breakdowns, a scope visualiser, and a 7-question quiz with instant feedback. This is how concepts actually stick. No more passive reading — just hands-on learning. 💡","#JavaScript #LearnToCode #WebDev #InteractiveLearning #JSFundamentals #Loops #Functions #CodingEducation #100DaysOfCode #TechEducation"
"2026-04-19","Lesson 12","Created Lesson 12 DOM Manipulation & Basic Events coursework","Lesson 12/notes/tutor_notes.md, Lesson 12/notes/student_notes.md, Lesson 12/exercises/dom_manipulation_practice.md, Lesson 12/assignments/assignment_brief.md, Lesson 12/examples/dom-events.html, Lesson 12/examples/app.js","Lesson 12 is out! 🚀 Time to make those websites come alive. We cover everything from the DOM tree and node selection to adding click and hover events with JS. Features a full Interactive HTML Playground so students can edit DOM objects live in their browser! ⚡️","#JavaScript #WebDev #LearnToCode #DOMManipulation #CodingEducation #FrontendDevelopment #100DaysOfCode"
"2026-04-19","Lesson 12 enhanced","Overhauled all Lesson 12 materials — rewrote tutor notes with full timed session script, teaching scripts, analogies and 5-row common mistakes guide; rewrote student notes with DOM tree diagram, security callouts, complete worked dark mode mini-program and method cheat sheet; rewrote exercises with full starter HTML/CSS scaffold, 6 progressive exercises with expected outputs, hints and reflection questions; rewrote assignment brief with pre-session tasks, 3 requirements, code quality standards and assessment criteria","Lesson 12/notes/tutor_notes.md, Lesson 12/notes/student_notes.md, Lesson 12/exercises/dom_manipulation_practice.md, Lesson 12/assignments/assignment_brief.md","Lesson 12 just got a serious upgrade! 🔥 DOM Manipulation is where JS finally clicks for students — pages go from static to ALIVE. We rebuilt the lesson top-to-bottom: DOM tree diagrams, a full dark mode mini-project walkthrough, 6 scaffolded exercises with expected outputs & hints, a teaching script with 5 common mistake callouts, and an assignment with real assessment criteria. This is the JS lesson that makes things interactive. 🌙☀️","#JavaScript #DOMManipulation #WebDev #LearnToCode #FrontendDevelopment #CodingEducation #EventListeners #100DaysOfCode #TechEducation #InteractiveWeb"
"2026-04-21","Lesson 13","Created Lesson 13 JavaScript Fundamentals II: Arrays, Objects, ES6+ Features coursework with comprehensive tutor and student notes, interactive HTML reference playground, guided practice exercises, and data-processing assignments.","Lesson 13/README.md, Lesson 13/notes/tutor_notes.md, Lesson 13/notes/student_notes.md, Lesson 13/exercises/js_arrays_objects_practice.md, Lesson 13/assignments/assignment_brief.md, Lesson 13/examples/arrays-objects.html, Lesson 13/examples/script.js","Lesson 13 is live! 🚀 Elevating JS skills beyond basic variables to complex data structures using Arrays and Objects. Plus, writing cleaner code with ES6+ features like Arrow Functions, Template Literals, and Destructuring. Includes a full interactive browser playground to run map/filter calculations on the fly! 💻✨","#JavaScript #WebDev #LearnToCode #JSFundamentals #CodingEducation #FrontendDevelopment #100DaysOfCode"
"2026-04-21","Lesson 13 enhanced","Full overhaul of all Lesson 13 materials — rewrote tutor notes (250+ lines with 5 analogies, 11-point troubleshooter, 4-phase teaching script), rewrote student notes (250+ lines with arrays-of-objects deep dive, chaining section, and cheat sheet), rewrote 12 graded exercises with predict-then-run checkpoints, rewrote assignment with HTML setup template, 5 reflection questions and 3 bonus challenges, and fully rebuilt arrays-objects.html interactive reference (7 tabs, 9 live playgrounds, zero-index visual diagram, key-value diagram, old-vs-new ES6 panels, 7-question quiz with detailed explanations).","Lesson 13/notes/tutor_notes.md, Lesson 13/notes/student_notes.md, Lesson 13/exercises/js_arrays_objects_practice.md, Lesson 13/assignments/assignment_brief.md, Lesson 13/examples/arrays-objects.html","Lesson 13 just got a MASSIVE upgrade! 🔥 Arrays, Objects & ES6+ are some of the most important concepts in JavaScript — so we made sure the lesson is built to match. Visual index diagrams, key-value maps, old-vs-new ES6 comparisons, 9 live code playgrounds, a 12-challenge exercise sheet, and a 7-question quiz with detailed explanations. This is how data structures should be taught. 📊🚀","#JavaScript #Arrays #Objects #ES6 #LearnToCode #WebDev #JSFundamentals #CodingEducation #100DaysOfCode #TechEducation"
"2026-04-21","Lesson 12 quiz added","Added a full 7-question quiz section to the Lesson 12 DOM Events interactive HTML reference — quiz CSS styles, a new nav tab, 7 questions covering DOM selection methods, textContent vs innerHTML safety, classList methods, toggle behaviour, addEventListener best practices, XSS vulnerability risks, and NodeList iteration, all with instant feedback and a scored summary.","Lesson 12/examples/dom-events.html","Lesson 12's interactive reference now has a full quiz! 🎯 Test yourself on DOM selection, manipulation, events, and security best practices — instant feedback on every answer plus a scored summary at the end. This is how you LOCK IN what you've learned. 🧠💡","#JavaScript #DOMManipulation #WebDev #LearnToCode #CodingEducation #FrontendDev #100DaysOfCode"
"2026-04-27","Lesson 14","Created Lesson 14 Asynchronous JavaScript (Promises, Async/Await & Fetch) coursework — including comprehensive tutor notes ( analogies, 8-point troubleshooter, teaching script), student notes (Event Loop overview, Promise states, Async/Await rules, Fetch two-step process), interactive HTML reference (6 tabs, live async playgrounds, Promise visualizer, 4-question quiz), 11 progressive practice exercises, and a User Directory assignment brief.","Lesson 14/README.md, Lesson 14/notes/tutor_notes.md, Lesson 14/notes/student_notes.md, Lesson 14/examples/asynchronous-js.html, Lesson 14/exercises/async_js_practice.md, Lesson 14/assignments/assignment_brief.md","Lesson 14 is here! 📡 Mastering the power of Asynchronous JavaScript. We're moving from blocking code to modern Promises, Async/Await, and the Fetch API. Includes an interactive visualizer for Promise states and a live fetch playground. Students will build a real-world User Directory app using JSONPlaceholder! 🚀💡","#JavaScript #AsyncJS #Promises #AsyncAwait #FetchAPI #WebDev #LearnToCode #100DaysOfCode #FrontendDevelopment #TechEducation"
"2026-04-27","Lesson 14 enhanced","Full overhaul of Lesson 14 materials — rewrote student notes (230+ lines: callback hell demo, event loop diagram, .then()/.catch()/.finally() table, HTTP status code table, JSON cheat sheet, old-vs-new async comparison); rewrote 12 exercises with exact expected outputs, predict-then-run prediction boxes, checkpoint questions, and 4 reflection questions; fixed critical async playground engine bug (async IIFE wrapper so await/fetch code actually runs); expanded quiz from 4 to 7 questions with data-correct attribute logic and detailed pedagogical feedback; added .then()/.catch()/.finally() reference card to Promises tab; added response.ok warning callout and two-step fetch table to Fetch tab.","Lesson 14/notes/student_notes.md, Lesson 14/exercises/async_js_practice.md, Lesson 14/examples/asynchronous-js.html","Lesson 14 just got a serious upgrade! 🔥 Async JS is genuinely confusing the first time — so we fixed everything. The interactive playground now actually runs await and fetch live in the browser (there was a silent bug!), the quiz grew to 7 questions with full explanations, and the student notes now include a Callback Hell example, Event Loop diagram, and a .then() vs async/await side-by-side so students see WHY modern syntax is better. This is how async JS should be taught. 📡🧠","#JavaScript #AsyncJS #Promises #AsyncAwait #FetchAPI #LearnToCode #WebDev #100DaysOfCode #TechEducation #CodingEducation"
